iter	Passed	Remaining
0	14	4190
1	21	3238
2	27	2766
3	35	2595
4	43	2578
5	50	2483
6	59	2488
7	67	2479
8	76	2461
9	84	2447
10	95	2498
11	103	2485
12	110	2446
13	119	2442
14	127	2421
15	137	2448
16	145	2429
17	155	2433
18	162	2410
19	172	2413
20	179	2391
21	188	2383
22	195	2356
23	204	2352
24	212	2341
25	222	2344
26	230	2335
27	240	2336
28	251	2349
29	266	2395
30	276	2399
31	289	2427
32	303	2455
33	313	2453
34	322	2441
35	333	2445
36	341	2430
37	351	2425
38	360	2414
39	369	2399
40	379	2394
41	387	2382
42	397	2372
43	404	2356
44	413	2342
45	422	2331
46	430	2319
47	439	2306
48	451	2311
49	461	2307
50	475	2322
51	487	2324
52	498	2321
53	507	2312
54	515	2297
55	525	2287
56	533	2272
57	543	2267
58	551	2253
59	561	2247
60	571	2237
61	581	2231
62	590	2221
63	598	2207
64	608	2198
65	616	2185
66	626	2177
67	634	2166
68	645	2162
69	656	2156
70	665	2145
71	675	2138
72	683	2125
73	694	2120
74	704	2113
75	713	2102
76	723	2095
77	733	2087
78	743	2078
79	753	2071
80	761	2059
81	772	2053
82	780	2040
83	789	2031
84	798	2018
85	807	2008
86	816	2000
87	825	1987
88	837	1985
89	846	1975
90	856	1966
91	866	1959
92	875	1948
93	886	1942
94	897	1937
95	907	1928
96	917	1921
97	926	1910
98	937	1903
99	948	1897
100	956	1885
101	968	1880
102	980	1874
103	989	1864
104	999	1856
105	1009	1847
106	1019	1838
107	1029	1830
108	1039	1821
109	1050	1814
110	1060	1806
111	1070	1796
112	1080	1787
113	1089	1776
114	1099	1768
115	1108	1758
116	1118	1749
117	1130	1743
118	1139	1733
119	1149	1723
120	1160	1716
121	1169	1705
122	1209	1739
123	1223	1737
124	1234	1728
125	1245	1720
126	1255	1709
127	1265	1700
128	1278	1694
129	1286	1682
130	1296	1673
131	1307	1663
132	1315	1652
133	1326	1643
134	1338	1636
135	1346	1623
136	1356	1614
137	1365	1603
138	1376	1594
139	1386	1584
140	1394	1572
141	1404	1562
142	1413	1552
143	1423	1542
144	1434	1533
145	1443	1523
146	1456	1516
147	1467	1507
148	1478	1498
149	1489	1489
150	1500	1480
151	1509	1469
152	1519	1460
153	1528	1449
154	1538	1439
155	1548	1429
156	1556	1418
157	1567	1408
158	1574	1396
159	1584	1386
160	1593	1375
161	1602	1365
162	1611	1354
163	1620	1343
164	1630	1333
165	1637	1322
166	1648	1312
167	1656	1301
168	1666	1291
169	1676	1281
170	1684	1270
171	1693	1260
172	1701	1248
173	1710	1238
174	1718	1227
175	1727	1217
176	1735	1206
177	1745	1196
178	1753	1185
179	1762	1175
180	1770	1164
181	1779	1153
182	1788	1143
183	1796	1132
184	1805	1122
185	1813	1111
186	1822	1101
187	1831	1090
188	1840	1080
189	1849	1070
190	1859	1060
191	1866	1050
192	1877	1040
193	1885	1030
194	1894	1020
195	1903	1009
196	1911	999
197	1919	988
198	1927	978
199	1935	967
200	1944	957
201	1951	946
202	1960	936
203	1968	926
204	1976	916
205	1986	906
206	1994	896
207	2003	886
208	2013	876
209	2023	867
210	2032	857
211	2040	847
212	2049	837
213	2057	826
214	2066	817
215	2076	807
216	2084	797
217	2092	787
218	2101	777
219	2108	766
220	2117	756
221	2125	746
222	2133	736
223	2141	726
224	2151	717
225	2159	707
226	2168	697
227	2177	687
228	2186	677
229	2195	668
230	2203	658
231	2211	648
232	2219	638
233	2228	628
234	2236	618
235	2244	608
236	2254	599
237	2263	589
238	2271	579
239	2281	570
240	2289	560
241	2298	550
242	2306	541
243	2315	531
244	2323	521
245	2333	512
246	2342	502
247	2350	492
248	2360	483
249	2367	473
250	2376	463
251	2384	454
252	2393	444
253	2401	434
254	2410	425
255	2418	415
256	2427	406
257	2435	396
258	2444	386
259	2455	377
260	2464	368
261	2474	358
262	2483	349
263	2492	339
264	2511	331
265	2524	322
266	2536	313
267	2546	304
268	2560	295
269	2574	286
270	2583	276
271	2593	267
272	2603	257
273	2611	247
274	2621	238
275	2630	228
276	2639	219
277	2649	209
278	2660	200
279	2672	190
280	2680	181
281	2692	171
282	2703	162
283	2712	152
284	2722	143
285	2732	133
286	2742	124
287	2751	114
288	2759	105
289	2770	95
290	2778	85
291	2787	76
292	2798	66
293	2808	57
294	2817	47
295	2827	38
296	2837	28
297	2848	19
298	2857	9
299	2868	0
